Symbol,Name,InstrumentToken,ExchangeToken,InstrumentType,Segment,Exchange,IsActive
NIFTY 50,"NIFTY 50",256265,1001,EQ,INDICES,NSE,True
NIFTY MIDCAP 100,"NIFTY MIDCAP 100",256777,1003,EQ,INDICES,NSE,True
NIFTY BANK,"NIFTY BANK",260105,1016,EQ,INDICES,NSE,True
NIFTY 100,"NIFTY 100",260617,1018,EQ,INDICES,NSE,True
NIFTY DIV OPPS 50,"NIFTY DIV OPPS 50",257033,1004,EQ,INDICES,NSE,True
NIFTY COMMODITIES,"NIFTY COMMODITIES",257289,1005,EQ,INDICES,NSE,True
NIFTY CONSUMPTION,"NIFTY CONSUMPTION",257545,1006,EQ,INDICES,NSE,True
NIFTY FIN SERVICE,"NIFTY FIN SERVICE",257801,1007,EQ,INDICES,NSE,True
NIFTY50 PR 2X LEV,"NIFTY50 PR 2X LEV",258825,1011,EQ,INDICES,NSE,True
NIFTY50 PR 1X INV,"NIFTY50 PR 1X INV",259081,1012,EQ,INDICES,NSE,True
NIFTY50 TR 2X LEV,"NIFTY50 TR 2X LEV",259337,1013,EQ,INDICES,NSE,True
NIFTY50 TR 1X INV,"NIFTY50 TR 1X INV",259593,1014,EQ,INDICES,NSE,True
NIFTY IT,"NIFTY IT",259849,1015,EQ,INDICES,NSE,True
NIFTY MIDCAP 50,"NIFTY MIDCAP 50",260873,1019,EQ,INDICES,NSE,True
NIFTY REALTY,"NIFTY REALTY",261129,1020,EQ,INDICES,NSE,True
NIFTY INFRA,"NIFTY INFRA",261385,1021,EQ,INDICES,NSE,True
NIFTY ENERGY,"NIFTY ENERGY",261641,1022,EQ,INDICES,NSE,True
NIFTY FMCG,"NIFTY FMCG",261897,1023,EQ,INDICES,NSE,True
NIFTY MNC,"NIFTY MNC",262153,1024,EQ,INDICES,NSE,True
NIFTY PHARMA,"NIFTY PHARMA",262409,1025,EQ,INDICES,NSE,True
NIFTY PSE,"NIFTY PSE",262665,1026,EQ,INDICES,NSE,True
NIFTY PSU BANK,"NIFTY PSU BANK",262921,1027,EQ,INDICES,NSE,True
NIFTY SERV SECTOR,"NIFTY SERV SECTOR",263177,1028,EQ,INDICES,NSE,True
NIFTY AUTO,"NIFTY AUTO",263433,1029,EQ,INDICES,NSE,True
NIFTY METAL,"NIFTY METAL",263689,1030,EQ,INDICES,NSE,True
NIFTY MEDIA,"NIFTY MEDIA",263945,1031,EQ,INDICES,NSE,True
NIFTY 200,"NIFTY 200",264457,1033,EQ,INDICES,NSE,True
HANGSENG BEES-NAV,"HANGSENG BEES-NAV",264713,1034,EQ,INDICES,NSE,True
INDIA VIX,"INDIA VIX",264969,1035,EQ,INDICES,NSE,True
NIFTY50 DIV POINT,"NIFTY50 DIV POINT",265225,1036,EQ,INDICES,NSE,True
NIFTY200 QUALTY30,"NIFTY200 QUALTY30",265737,1038,EQ,INDICES,NSE,True
NIFTY ALPHA 50,"NIFTY ALPHA 50",265993,1039,EQ,INDICES,NSE,True
NIFTY MIDCAP 150,"NIFTY MIDCAP 150",266249,1040,EQ,INDICES,NSE,True
NIFTY MIDSML 400,"NIFTY MIDSML 400",266505,1041,EQ,INDICES,NSE,True
NIFTY SMLCAP 50,"NIFTY SMLCAP 50",266761,1042,EQ,INDICES,NSE,True
NIFTY SMLCAP 100,"NIFTY SMLCAP 100",267017,1043,EQ,INDICES,NSE,True
NIFTY SMLCAP 250,"NIFTY SMLCAP 250",267273,1044,EQ,INDICES,NSE,True
NIFTY50 VALUE 20,"NIFTY50 VALUE 20",267529,1045,EQ,INDICES,NSE,True
NIFTY100 LIQ 15,"NIFTY100 LIQ 15",267785,1046,EQ,INDICES,NSE,True
NIFTY 500,"NIFTY 500",268041,1047,EQ,INDICES,NSE,True
NIFTY CPSE,"NIFTY CPSE",268297,1048,EQ,INDICES,NSE,True
NIFTY GS 4 8YR,"NIFTY GS 4 8YR",268553,1049,EQ,INDICES,NSE,True
NIFTY GS 8 13YR,"NIFTY GS 8 13YR",268809,1050,EQ,INDICES,NSE,True
NIFTY GS 10YR,"NIFTY GS 10YR",269065,1051,EQ,INDICES,NSE,True
NIFTY GS 10YR CLN,"NIFTY GS 10YR CLN",269321,1052,EQ,INDICES,NSE,True
NIFTY GS 11 15YR,"NIFTY GS 11 15YR",269577,1053,EQ,INDICES,NSE,True
NIFTY GS 15YRPLUS,"NIFTY GS 15YRPLUS",269833,1054,EQ,INDICES,NSE,True
NIFTY GS COMPSITE,"NIFTY GS COMPSITE",270089,1055,EQ,INDICES,NSE,True
NIFTY GROWSECT 15,"NIFTY GROWSECT 15",270345,1056,EQ,INDICES,NSE,True
NIFTY MID LIQ 15,"NIFTY MID LIQ 15",270601,1057,EQ,INDICES,NSE,True
NIFTY NEXT 50,"NIFTY NEXT 50",270857,1058,EQ,INDICES,NSE,True
NIFTY PVT BANK,"NIFTY PVT BANK",271113,1059,EQ,INDICES,NSE,True
NIFTY50 EQL WGT,"NIFTY50 EQL WGT",271625,1061,EQ,INDICES,NSE,True
NIFTY100 EQL WGT,"NIFTY100 EQL WGT",271881,1062,EQ,INDICES,NSE,True
NIFTY100 LOWVOL30,"NIFTY100 LOWVOL30",272137,1063,EQ,INDICES,NSE,True
NIFTY100 QUALTY30,"NIFTY100 QUALTY30",272393,1064,EQ,INDICES,NSE,True
